Date,Close,Open,High,Low,Vol.,Change %
"Sep 25, 2013",195.88,194.48,195.88,194.48,-,0.72%
"Sep 26, 2013",195.14,196.21,196.9,195.14,-,-0.38%
"Sep 27, 2013",197.6,196.13,197.6,196.13,-,1.26%
"Sep 30, 2013",196.45,197.32,197.32,196.15,-,-0.58%
"Oct 01, 2013",197.46,195.82,197.46,195.82,-,0.51%
"Oct 02, 2013",197.61,197.45,197.94,197.31,-,0.08%
"Oct 03, 2013",197.78,197.61,197.78,197.18,-,0.09%
"Oct 04, 2013",197.58,198.28,198.32,197.58,-,-0.10%
"Oct 07, 2013",196.53,197.23,197.23,196.53,-,-0.53%
"Oct 08, 2013",192.51,196.53,196.53,192.5,-,-2.05%
"Oct 09, 2013",196.9,196.87,196.9,196.87,-,2.28%
"Oct 10, 2013",196.22,197.01,197.01,196.03,-,-0.35%
"Oct 11, 2013",194.32,196.22,196.23,194.32,-,-0.97%
"Oct 14, 2013",196.33,195.01,196.33,195.01,-,1.03%
"Oct 15, 2013",196.59,196.33,196.59,195.73,-,0.13%
"Oct 16, 2013",196.62,196.26,196.62,196.26,-,0.02%
"Oct 17, 2013",196.59,196.59,196.59,196.59,-,-0.02%
"Oct 18, 2013",197.77,197.07,197.77,197.07,-,0.60%
"Oct 21, 2013",197.8,197.8,197.8,197.8,-,0.02%
"Oct 22, 2013",198.23,197.8,198.4,197.8,-,0.22%
"Oct 23, 2013",197.13,197.13,197.13,197.13,-,-0.55%
"Oct 24, 2013",195.8,197.6,198.66,195.79,-,-0.67%
"Oct 25, 2013",196.08,195.8,198.13,195.79,-,0.14%
"Oct 28, 2013",193.59,195.41,196.79,192.55,-,-1.27%
"Oct 29, 2013",198.36,194.4,198.36,194.4,-,2.46%
"Oct 30, 2013",198.84,197.96,198.84,197.96,-,0.24%
"Oct 31, 2013",194.59,198.58,200.02,194.59,-,-2.14%
"Nov 04, 2013",192.42,192.42,192.42,192.42,-,-1.12%
"Nov 05, 2013",196.5,195.06,196.5,195.06,-,2.12%
"Nov 06, 2013",197.11,197.28,197.41,197.11,-,0.31%
"Nov 07, 2013",196.95,195.81,197.11,195.81,-,-0.08%
"Nov 08, 2013",196.5,196.88,196.88,195.2,-,-0.23%
"Nov 11, 2013",198.76,193.87,199.12,193.86,-,1.15%
"Nov 12, 2013",197.11,198.4,198.72,196.36,-,-0.83%
"Nov 13, 2013",192.85,195.54,195.54,192.5,-,-2.16%
"Nov 14, 2013",193.24,192.85,193.24,192.12,-,0.20%
"Nov 15, 2013",193.03,192.58,193.07,192.32,-,-0.11%
"Nov 18, 2013",193.87,193.03,193.87,193.03,-,0.44%
"Nov 19, 2013",193,195.12,195.12,192.92,-,-0.45%
"Nov 20, 2013",192.71,192.96,193.14,192.71,-,-0.15%
"Nov 21, 2013",196.27,192.57,196.27,188.65,-,1.85%
"Nov 22, 2013",194.34,194.25,194.34,192.06,-,-0.98%
"Nov 25, 2013",192.48,194.36,194.36,192.48,-,-0.96%
"Nov 26, 2013",194.64,194.39,194.64,194.39,-,1.12%
"Nov 27, 2013",196.88,194.94,196.88,194.94,-,1.15%
"Nov 28, 2013",195.61,196.88,196.88,195.38,-,-0.65%
"Nov 29, 2013",195.41,195.46,196.1,195.13,-,-0.10%
"Dec 02, 2013",200.91,198.08,201.06,197.87,-,2.81%
"Dec 03, 2013",198.75,200.91,200.91,198.75,-,-1.08%
"Dec 04, 2013",196.04,198.75,198.75,196.04,-,-1.36%
"Dec 05, 2013",195.99,196.04,196.04,192.04,-,-0.03%
"Dec 06, 2013",193.36,191.48,198.14,191.44,-,-1.34%
"Dec 09, 2013",196.25,193.46,197.81,193.46,-,1.49%
"Dec 10, 2013",197.92,197.13,198.96,197.13,-,0.85%
"Dec 11, 2013",198.85,200.12,200.13,198.85,-,0.47%
"Dec 12, 2013",194.32,200.42,200.42,194.32,-,-2.28%
"Dec 13, 2013",195.62,194.32,195.62,194.3,-,0.67%
"Dec 16, 2013",194.35,195.65,195.65,194.35,-,-0.65%
"Dec 17, 2013",190.97,194.38,194.76,190.97,-,-1.74%
"Dec 18, 2013",190.31,190.97,193.44,190.31,-,-0.35%
"Dec 19, 2013",191.25,190.52,191.25,190.33,-,0.49%
"Dec 20, 2013",193.55,194.39,194.48,193.55,-,1.20%
"Dec 23, 2013",194.22,193.18,194.22,193.18,-,0.35%
"Dec 27, 2013",193.71,193.76,193.79,193.71,-,-0.26%
"Dec 30, 2013",197.76,197.73,197.76,197.73,-,2.09%
"Dec 31, 2013",197.76,197.76,197.76,197.76,-,0.00%
"Jan 02, 2014",195.14,195.12,195.14,195.12,-,-1.32%
"Jan 03, 2014",195.17,195.14,195.17,195.14,-,0.02%
"Jan 07, 2014",193.9,193.86,193.9,193.86,-,-0.65%
"Jan 08, 2014",193.9,193.87,193.9,193.87,-,0.00%
"Jan 09, 2014",194.41,193.6,194.41,193.6,-,0.26%
"Jan 10, 2014",194.49,194.45,194.49,194.45,-,0.04%
"Jan 13, 2014",197.9,194.49,200.5,194.49,-,1.75%
"Jan 14, 2014",196.63,197.95,197.95,196.63,-,-0.64%
"Jan 15, 2014",194.05,194.31,194.31,194.05,-,-1.31%
"Jan 16, 2014",194.05,194.05,194.05,194.05,-,0.00%
"Jan 17, 2014",203.3,196.33,203.3,196.33,-,4.77%
"Jan 20, 2014",199.49,203.31,205.52,199.49,-,-1.87%
"Jan 21, 2014",199.56,200.66,200.66,199.5,-,0.04%
"Jan 22, 2014",200.42,199.56,200.42,197.58,-,0.43%
"Jan 23, 2014",200.93,200.44,200.93,199.62,-,0.25%
"Jan 24, 2014",195.79,201.23,201.27,195.79,-,-2.56%
"Jan 27, 2014",197.13,198.29,198.29,197.13,-,0.68%
"Jan 28, 2014",197.09,197.13,198.44,196.83,-,-0.02%
"Jan 29, 2014",197.13,197.39,198.3,197.09,-,0.02%
"Jan 30, 2014",199.23,196.68,199.23,196.68,-,1.07%
"Jan 31, 2014",196.45,199.04,199.04,196.19,-,-1.40%
"Feb 03, 2014",197.41,196.45,197.41,196.45,-,0.49%
"Feb 04, 2014",195.19,197.41,197.41,195.02,-,-1.12%
"Feb 05, 2014",202.71,201.7,202.71,201.7,-,3.85%
"Feb 06, 2014",201.99,202.71,202.71,201.99,-,-0.36%
"Feb 07, 2014",202.81,201.99,202.81,201.99,-,0.41%
