Date,Close,Open,High,Low,Vol.,Change %
"Jan 21, 2010",2470.51,2484.11,2489.38,2455.55,34.33M,-0.76%
"Jan 20, 2010",2489.45,2483.26,2501.61,2479.94,29.92M,0.00%
"Jan 19, 2010",2489.42,2461.86,2489.42,2449.28,26.12M,0.98%
"Jan 18, 2010",2465.3,2441.74,2465.3,2440.2,84.05M,0.94%
"Jan 15, 2010",2442.38,2451.05,2468.73,2435.23,64.67M,-0.39%
"Jan 14, 2010",2451.98,2476.23,2476.23,2442.53,25.99M,-0.25%
"Jan 13, 2010",2458.05,2432.02,2462.6,2427.9,28.19M,0.38%
"Jan 12, 2010",2448.71,2463.97,2466.29,2436.02,28.02M,-1.00%
"Jan 11, 2010",2473.5,2465.27,2475.76,2458.46,30.27M,1.36%
"Jan 08, 2010",2440.42,2464.47,2468.49,2431.9,27.65M,0.16%
"Jan 07, 2010",2436.4,2434.32,2448.52,2427.82,22.04M,-1.47%
"Jan 06, 2010",2472.83,2465.92,2472.83,2447.68,17.68M,0.43%
"Jan 05, 2010",2462.3,2460.63,2480.91,2451.63,52.92M,0.72%
"Jan 04, 2010",2444.58,2403.01,2450.63,2403.01,33.10M,2.34%
"Dec 31, 2009",2388.72,2402.01,2403.6,2387.98,14.02M,-0.32%
"Dec 30, 2009",2396.44,2411.17,2415.24,2388.77,22.58M,-0.76%
"Dec 29, 2009",2414.85,2406.64,2418.9,2392.94,24.50M,0.41%
"Dec 28, 2009",2405.04,2402.91,2409.56,2394.97,33.81M,1.43%
"Dec 23, 2009",2371.07,2372.13,2375.15,2352.5,38.56M,0.26%
"Dec 22, 2009",2364.9,2360.19,2372.88,2354.12,21.07M,0.98%
"Dec 21, 2009",2341.9,2322.34,2354.79,2318.7,17.42M,0.83%
"Dec 18, 2009",2322.64,2330.77,2346,2309.95,70.21M,-0.35%
"Dec 17, 2009",2330.73,2345,2355.07,2324.74,21.93M,-1.24%
"Dec 16, 2009",2359.88,2353.59,2371.5,2347.73,21.26M,0.36%
"Dec 15, 2009",2351.48,2340.78,2351.48,2324.61,28.23M,-0.02%
"Dec 14, 2009",2352.02,2370.52,2373.26,2340.1,16.30M,0.77%
"Dec 11, 2009",2333.97,2340.64,2349.08,2322.08,25.02M,0.85%
"Dec 10, 2009",2314.28,2328.72,2346.12,2309.93,36.47M,-0.25%
"Dec 09, 2009",2320.13,2367.76,2376.03,2320.13,26.46M,-2.30%
"Dec 08, 2009",2374.7,2420.54,2438.6,2369.84,24.54M,-2.33%
"Dec 07, 2009",2431.26,2430.49,2443.58,2410.39,15.16M,-0.69%
"Dec 04, 2009",2448.25,2386.77,2453.17,2377.97,23.08M,2.48%
"Dec 03, 2009",2389.04,2407.35,2422.26,2389.04,22.84M,-0.16%
"Dec 02, 2009",2392.93,2392.4,2400.8,2374.63,21.71M,0.61%
"Dec 01, 2009",2378.43,2371.69,2397.3,2370.71,30.55M,1.09%
"Nov 30, 2009",2352.71,2345.84,2358.26,2328.42,37.35M,1.54%
"Nov 27, 2009",2316.97,2236.63,2324.83,2236.63,113.34M,-0.62%
"Nov 26, 2009",2331.34,2370.01,2370.01,2331.34,25.82M,-1.44%
"Nov 25, 2009",2365.44,2388.64,2403.8,2364.68,21.42M,-0.03%
"Nov 24, 2009",2366.25,2400.97,2407.42,2356.37,35.20M,-1.88%
"Nov 23, 2009",2411.7,2378.87,2411.7,2374.55,30.93M,2.73%
"Nov 20, 2009",2347.67,2340.53,2365.61,2315.37,47.39M,0.83%
"Nov 19, 2009",2328.44,2360.44,2362.77,2328.44,74.46M,-1.76%
"Nov 18, 2009",2370.07,2436.42,2441.79,2368.34,151.06M,-2.34%
"Nov 17, 2009",2426.98,2427.86,2440.85,2414.57,43.13M,-0.10%
"Nov 16, 2009",2429.41,2408.64,2434.99,2407.78,32.22M,3.09%
"Nov 13, 2009",2356.59,2371.37,2383.31,2349.9,31.62M,-1.55%
"Nov 12, 2009",2393.6,2346.69,2393.6,2346.69,43.90M,0.86%
"Nov 10, 2009",2373.3,2353.77,2388.57,2339.61,43.86M,0.61%
"Nov 09, 2009",2358.84,2312.41,2358.84,2306.16,56.09M,3.61%
"Nov 06, 2009",2276.74,2296.61,2315.73,2257.72,52.26M,-1.26%
"Nov 05, 2009",2305.84,2222.46,2305.84,2219.98,37.21M,2.52%
"Nov 04, 2009",2249.08,2221.8,2249.08,2217.23,24.58M,2.52%
"Nov 03, 2009",2193.87,2248.88,2252.42,2193.87,31.11M,-3.10%
"Nov 02, 2009",2264.07,2244.13,2273.01,2239.32,31.94M,-0.47%
"Oct 30, 2009",2274.72,2293.86,2323.72,2268.81,32.28M,-1.40%
"Oct 29, 2009",2306.95,2265.12,2311.5,2245.42,62.78M,1.46%
"Oct 28, 2009",2273.83,2321.75,2321.99,2271.71,77.45M,-2.44%
"Oct 27, 2009",2330.69,2355.75,2359,2320.66,28.11M,-2.12%
"Oct 26, 2009",2381.07,2398.09,2411.71,2369.51,39.81M,-1.29%
"Oct 23, 2009",2412.18,2397.98,2416.97,2396.36,85.10M,1.86%
"Oct 22, 2009",2368.11,2353.17,2382.08,2342.49,25.36M,-0.11%
"Oct 21, 2009",2370.65,2344.16,2377.54,2327.18,34.84M,0.94%
"Oct 20, 2009",2348.65,2356.42,2362.59,2325.4,27.88M,1.14%
"Oct 19, 2009",2322.17,2289.91,2322.96,2289.17,30.97M,2.19%
"Oct 16, 2009",2272.37,2278.19,2300.77,2261.91,55.75M,-0.16%
"Oct 15, 2009",2276.1,2320.53,2325.82,2271.78,38.40M,-1.15%
"Oct 14, 2009",2302.54,2236.01,2302.54,2232.34,78.33M,3.37%
"Oct 13, 2009",2227.46,2233.73,2234.55,2202.45,35.27M,-0.49%
"Oct 12, 2009",2238.51,2225.21,2246.48,2211.81,132.72M,1.23%
"Oct 09, 2009",2211.26,2204.01,2235.3,2195.03,42.32M,0.26%
"Oct 08, 2009",2205.42,2216.02,2219.2,2184.44,40.92M,1.02%
"Oct 07, 2009",2183.16,2235.48,2235.48,2175.4,24.81M,-1.76%
"Oct 06, 2009",2222.27,2184.83,2227.65,2183.11,35.70M,3.33%
"Oct 05, 2009",2150.59,2160.11,2170.2,2136.65,19.27M,0.30%
"Oct 02, 2009",2144.13,2188.33,2195.98,2144.13,37.67M,-4.95%
"Oct 01, 2009",2255.68,2211.39,2255.68,2207.35,38.73M,2.89%
"Sep 30, 2009",2192.37,2215.15,2235.26,2191.12,67.30M,-0.44%
"Sep 29, 2009",2202.16,2259.06,2269.62,2202.16,40.71M,-2.59%
"Sep 28, 2009",2260.61,2254.16,2271.23,2231.24,41.63M,0.68%
"Sep 25, 2009",2245.27,2254.2,2260.78,2226.96,30.70M,-0.49%
"Sep 24, 2009",2256.39,2253.09,2293.39,2240.4,33.96M,-0.64%
"Sep 23, 2009",2270.89,2258.01,2296.92,2255.54,114.40M,1.06%
"Sep 22, 2009",2246.97,2149.15,2249.25,2140.14,186.64M,5.11%
"Sep 21, 2009",2137.8,2156.29,2167.05,2135.39,24.24M,-0.44%
"Sep 18, 2009",2147.28,2145.57,2161.21,2131.97,64.01M,-0.81%
"Sep 17, 2009",2164.82,2182.74,2182.74,2143.19,33.84M,0.89%
"Sep 16, 2009",2145.75,2124.21,2148.52,2122.12,30.00M,2.22%
"Sep 15, 2009",2099.17,2119.9,2122.77,2087.15,29.42M,-0.16%
"Sep 14, 2009",2102.53,2118.75,2134.93,2087.36,56.51M,-2.15%
