Date,Close,Open,High,Low,Vol.,Change %
"Jun 15, 2015",979.24,991.14,991.14,974.99,-,-1.20%
"Jun 12, 2015",991.13,1008.21,1008.21,989.51,-,-1.71%
"Jun 11, 2015",1008.37,1004.94,1008.74,1003.37,-,0.23%
"Jun 10, 2015",1006.06,991.16,1010.36,989.99,-,1.45%
"Jun 09, 2015",991.66,996.77,997.09,981.7,-,-0.52%
"Jun 08, 2015",996.82,1004.89,1005.63,996.82,-,-0.80%
"Jun 05, 2015",1004.89,1018.76,1022.62,1004.42,-,-1.36%
"Jun 04, 2015",1018.76,1017.5,1018.76,1012.35,-,0.14%
"Jun 03, 2015",1017.31,1020.12,1020.25,1012.91,-,-0.22%
"Jun 02, 2015",1019.59,1028.08,1029.49,1017.26,-,-0.83%
"Jun 01, 2015",1028.08,1021.15,1032.18,1021.15,-,0.61%
"May 29, 2015",1021.81,1025.64,1028.11,1020.56,-,-0.36%
"May 28, 2015",1025.52,1029.53,1037.13,1025.52,-,-0.45%
"May 27, 2015",1030.18,1014.33,1032.34,1012.69,-,1.64%
"May 26, 2015",1013.6,1027.8,1029.11,1012.66,-,-1.38%
"May 25, 2015",1027.8,1030.05,1031.19,1024.21,-,-0.22%
"May 22, 2015",1030.02,1022.87,1030.02,1022.61,-,0.84%
"May 21, 2015",1021.4,1031.54,1031.63,1021.06,-,-0.98%
"May 20, 2015",1031.54,1031.48,1033.68,1024.81,-,0.03%
"May 19, 2015",1031.25,1022.23,1033.8,1021.87,-,0.88%
"May 18, 2015",1022.23,1026.44,1027.37,1021.45,-,-0.36%
"May 15, 2015",1025.94,1025.66,1034.09,1025.31,-,0.07%
"May 14, 2015",1025.24,1032.72,1033.15,1023.3,-,-0.89%
"May 13, 2015",1034.44,1035.61,1040.03,1029.62,-,-0.06%
"May 12, 2015",1035.1,1041.11,1041.11,1032.61,-,-0.71%
"May 11, 2015",1042.51,1030.85,1045.79,1027.34,-,1.41%
"May 07, 2015",1028.05,1016.92,1029.64,1013.91,-,1.12%
"May 06, 2015",1016.7,1025.57,1027.22,1013.15,-,-0.85%
"May 05, 2015",1025.4,1029.02,1032.11,1022.65,-,-0.35%
"May 04, 2015",1029.02,1026.01,1035.56,1024.81,-,0.29%
"Apr 30, 2015",1026.01,1025.11,1030.7,1019.86,-,0.09%
"Apr 29, 2015",1025.1,1031.32,1032.54,1023.01,-,-0.60%
"Apr 28, 2015",1031.33,1041.25,1042.45,1029.47,-,-0.99%
"Apr 27, 2015",1041.67,1049.57,1056.22,1041.67,-,-0.74%
"Apr 24, 2015",1049.4,1041.7,1049.4,1040.9,-,0.71%
"Apr 23, 2015",1042.05,1042.74,1045.27,1039.51,-,-0.07%
"Apr 22, 2015",1042.74,1056.79,1056.79,1039.61,-,-1.33%
"Apr 21, 2015",1056.79,1052.27,1057.96,1048.68,-,0.51%
"Apr 20, 2015",1051.47,1049.4,1055.46,1047.92,-,0.26%
"Apr 17, 2015",1048.74,1056.87,1056.87,1042.11,-,-0.76%
"Apr 16, 2015",1056.75,1050.8,1056.92,1049.97,-,0.57%
"Apr 15, 2015",1050.8,1053.26,1053.26,1039.95,-,-0.23%
"Apr 14, 2015",1053.26,1058.59,1060.54,1051.29,-,-0.49%
"Apr 13, 2015",1058.44,1051.81,1058.97,1051.31,-,0.58%
"Apr 10, 2015",1052.37,1053.93,1057.62,1050.98,-,-0.09%
"Apr 09, 2015",1053.35,1047.64,1053.35,1046.61,-,0.55%
"Apr 08, 2015",1047.61,1051.76,1051.76,1043.14,-,-0.32%
"Apr 07, 2015",1050.98,1049.24,1052.31,1045.26,-,0.17%
"Apr 02, 2015",1049.24,1043.98,1049.24,1042.19,-,0.51%
"Apr 01, 2015",1043.96,1033.19,1045.39,1029.25,-,1.00%
"Mar 31, 2015",1033.66,1031.21,1039,1029.41,-,0.23%
"Mar 30, 2015",1031.25,1023.5,1033.63,1022.46,-,0.76%
"Mar 27, 2015",1023.47,1031.83,1034.33,1018.88,-,-0.80%
"Mar 26, 2015",1031.74,1043.24,1043.27,1027.33,-,-1.10%
"Mar 25, 2015",1043.2,1048.75,1048.95,1040.71,-,-0.53%
"Mar 24, 2015",1048.75,1044.97,1050.89,1044.31,-,0.34%
"Mar 23, 2015",1045.24,1045.03,1047.07,1038.53,-,0.03%
"Mar 20, 2015",1044.9,1042.62,1054.15,1042.02,-,0.23%
"Mar 19, 2015",1042.55,1030.99,1042.55,1030.96,-,1.13%
"Mar 18, 2015",1030.86,1032.3,1036.27,1026.52,-,-0.15%
"Mar 17, 2015",1032.4,1036.32,1036.79,1027.74,-,-0.37%
"Mar 16, 2015",1036.22,1035.95,1039.7,1033.35,-,0.01%
"Mar 13, 2015",1036.15,1023.65,1036.15,1023.09,-,1.24%
"Mar 12, 2015",1023.49,1016.14,1025.27,1016.14,-,0.72%
"Mar 11, 2015",1016.14,1011.9,1021,1011.9,-,0.44%
"Mar 10, 2015",1011.7,1024.54,1025.93,1011.7,-,-1.22%
"Mar 09, 2015",1024.21,1037.6,1037.6,1023.59,-,-1.27%
"Mar 06, 2015",1037.35,1029.15,1037.35,1027.29,-,0.77%
"Mar 05, 2015",1029.39,1014.28,1029.75,1010.4,-,1.49%
"Mar 04, 2015",1014.24,1017.22,1019.83,1012.35,-,-0.30%
"Mar 03, 2015",1017.32,1024.88,1028.9,1017.32,-,-0.74%
"Mar 02, 2015",1024.86,1022.73,1030.64,1020.46,-,0.21%
"Feb 27, 2015",1022.75,1028.32,1034.88,1022.02,-,-0.54%
"Feb 26, 2015",1028.29,1029.42,1035.31,1026.56,-,-0.03%
