Date,Close,Open,High,Low,Vol.,Change %
"Sep 26, 2013",18729.87,18695.51,18763.02,18643.81,-,0.23%
"Sep 25, 2013",18687.49,18602.59,18750.75,18601.52,-,1.62%
"Sep 24, 2013",18389.32,18271.04,18389.32,18211.96,-,1.06%
"Sep 23, 2013",18196.08,18202.58,18286.31,18142,-,-0.27%
"Sep 20, 2013",18245.91,18398.2,18433.39,18133.8,-,-1.21%
"Sep 19, 2013",18468.92,18733.61,18759.37,18357.2,-,0.08%
"Sep 18, 2013",18454.66,18638.06,18662.59,18412.46,-,-0.94%
"Sep 17, 2013",18629.09,18599.78,18660.79,18541.99,-,0.01%
"Sep 16, 2013",18627.37,18486.89,18627.37,18467.75,-,1.11%
"Sep 13, 2013",18423.68,18277.05,18423.68,18210.58,-,0.73%
"Sep 12, 2013",18290.57,18245.34,18322.79,18136.25,-,-0.53%
"Sep 11, 2013",18387.99,18128.3,18387.99,18024.88,-,1.63%
"Sep 10, 2013",18092.9,18060.01,18149.4,18005.12,-,0.95%
"Sep 09, 2013",17922.55,18017.96,18066.56,17847.58,-,-0.51%
"Sep 06, 2013",18015.16,18120.76,18127.83,17913.64,-,-0.73%
"Sep 05, 2013",18147.23,18173.9,18237.42,17994.4,-,-0.05%
"Sep 04, 2013",18156.25,18212.13,18296.48,18133.95,-,-0.63%
"Sep 03, 2013",18271.61,18254.14,18293.85,18157.72,-,0.43%
"Sep 02, 2013",18192.89,18266.83,18416.32,18192.89,-,-0.03%
"Aug 30, 2013",18198.84,18060.57,18275.2,18017.17,-,0.84%
"Aug 29, 2013",18046.71,18138.54,18210.14,18003.38,-,-0.74%
"Aug 28, 2013",18181.64,17801.62,18254.9,17739.79,-,1.66%
"Aug 27, 2013",17884.19,18191.55,18207.07,17828.96,-,-1.97%
"Aug 26, 2013",18243.97,18161.03,18296.25,18130.06,-,0.54%
"Aug 23, 2013",18146.21,18153.19,18197.14,18084.82,-,-0.06%
"Aug 22, 2013",18156.52,18045.07,18188.53,17967.16,-,0.30%
"Aug 21, 2013",18101.52,18340.82,18351.99,18014.76,-,-1.68%
"Aug 16, 2013",18411.25,18285.34,18491.87,18274.84,-,0.48%
"Aug 15, 2013",18322.71,18636.08,18636.08,18319.71,-,-1.66%
"Aug 14, 2013",18632.31,18660.63,18662.79,18514.68,-,-0.12%
"Aug 13, 2013",18655.33,18722.72,18881.77,18578.14,-,-0.27%
"Aug 12, 2013",18705.38,18707.18,18770.71,18575.24,-,-0.01%
"Aug 09, 2013",18706.78,18821.94,18897.62,18701.21,-,-0.49%
"Aug 08, 2013",18798.7,18343.06,18798.7,18341.12,-,2.76%
"Aug 07, 2013",18292.97,18202.54,18374.44,18080.52,-,0.37%
"Aug 06, 2013",18225.61,18370.36,18399.35,18129.77,-,-1.12%
"Aug 05, 2013",18432.12,18471.69,18482.43,18315.52,-,-0.06%
"Aug 02, 2013",18443.38,18429.5,18471.67,18267.4,-,0.34%
"Aug 01, 2013",18380.88,18611.18,18611.18,18344.65,-,-0.92%
"Jul 31, 2013",18552.34,18196.16,18552.34,18131.38,-,1.54%
"Jul 30, 2013",18270.94,18175.39,18294.51,17916.67,-,0.59%
"Jul 29, 2013",18162.97,18420.88,18459.57,18045.22,-,-1.65%
"Jul 26, 2013",18467.76,18646.2,18747.2,18364.98,-,-0.89%
"Jul 25, 2013",18633.17,18618.61,18719.27,18521.85,-,0.61%
"Jul 24, 2013",18520.55,18273.68,18576.05,18174.44,-,1.06%
"Jul 23, 2013",18325.4,18145.59,18325.4,18098.39,-,0.44%
"Jul 22, 2013",18244.42,18090.31,18341.77,17904.39,-,-0.02%
"Jul 19, 2013",18247.17,18956.78,18956.78,17874.69,-,-3.81%
"Jul 18, 2013",18969.33,19326.58,19326.58,18906.07,-,-2.32%
"Jul 17, 2013",19420.5,19668.06,19668.06,19341.19,-,-1.51%
"Jul 16, 2013",19717.4,19713.05,19739.21,19568.34,-,0.00%
"Jul 15, 2013",19716.7,19584.75,19716.7,19548.15,-,0.95%
"Jul 12, 2013",19531.8,19299.27,19531.8,19268.31,-,1.73%
"Jul 11, 2013",19199.31,19659.41,19737.33,19199.31,-,-1.78%
"Jul 10, 2013",19547.52,19425.55,19547.52,19350.12,-,0.64%
